Designator,Footprint,Quantity,Comment,JLCPCB Part #
"R13,R19,R27,R16,R30,R7,R1,R10,R4,R23",R_0805_2012Metric,10,2.2K,C17520
"R29,R15,R18,R12,R26",R_0805_2012Metric,5,470,C17710
"D1,D2,D3,D4,D5",D_SOD-323,5,1N4148WS,C2128
"DR4,DR2,DR3,DR1,DR5",LED_0603_1608Metric,10,LED,C2286 
"DT1,DT2,DT3,DT5,DT4",LED_0603_1608Metric,10,LED,C72038
"U6,U2,U3,U5,U4",SMDIP-6_W9.53mm,5,H11L1,C78589
"R20,R14,R17,R11,R28",R_0805_2012Metric,5,220,C17557
"R24,R8,R21,R2,R5",R_0805_2012Metric,5,33,C17634
"R6,R9,R3,R25,R22",R_0805_2012Metric,5,10,C17415
