Designator,Footprint,Quantity,Comment,JLCPCB Part #
R2,R_0805_2012Metric,1,10,C17415
"R6,R3",R_0805_2012Metric,2,2.2K,C17520
R1,R_0805_2012Metric,1,33,C17634
D1,D_SOD-323,1,1N4148WS,C2128
DR1,LED_0603_1608Metric,1,LED,C2286 
DT1,LED_0603_1608Metric,1,LED,C72038
U1,SMDIP-6_W9.53mm,1,H11L1,C78589
R5,R_0805_2012Metric,1,470,C17710
R4,R_0805_2012Metric,1,220,C17557
